ensembl_transcript_id,transcript_length
AT1G01050.1,994
AT1G01050.2,810
AT1G01060.1,2708
AT1G01060.2,2814
AT1G01060.3,2517
AT1G01060.4,2641
AT1G01060.5,2722
AT1G01060.6,2933
AT1G01060.7,2908
AT1G01060.8,2132
AT1G01080.1,1685
AT1G01080.2,1322
AT1G01080.3,1771
AT1G01090.1,1896
AT1G01100.1,587
AT1G01100.2,808
AT1G01100.3,566
AT1G01100.4,607
AT1G01120.1,2052
AT1G01140.1,1838
AT1G01140.2,1694
AT1G01140.3,1700
AT1G01160.1,1045
AT1G01160.2,1129
AT1G01170.1,515
AT1G01170.2,503
AT1G01210.1,624
AT1G01210.2,669
AT1G01230.1,876
AT1G01240.1,1497
AT1G01240.2,1686
AT1G01240.3,2122
AT1G01240.4,1461
AT1G01240.5,1932
AT1G01260.1,2709
AT1G01260.2,2378
AT1G01260.3,2679
AT1G01300.1,2062
AT1G01320.1,6015
AT1G01320.2,6049
AT1G01320.3,6051
AT1G01430.1,2134
AT1G01470.1,1348
AT1G01490.1,1562
AT1G01490.2,1445
AT1G01490.3,1907
AT1G01490.4,1698
AT1G01500.1,1773
AT1G01510.1,2637
AT1G01520.1,1349
AT1G01520.2,1506
AT1G01520.3,1429
AT1G01520.4,1426
AT1G01520.5,1361
AT1G01540.1,1908
AT1G01540.2,2158
AT1G01550.1,1572
AT1G01550.2,1595
AT1G01610.1,1916
AT1G01620.1,1549
AT1G01620.2,1279
AT1G01630.1,1479
AT1G01650.1,2229
AT1G01650.2,2500
AT1G01650.3,2504
AT1G01650.4,2220
AT1G01720.1,1653
AT1G01730.1,1197
AT1G01790.1,4259
AT1G01790.2,4237
AT1G01800.1,1236
AT1G01800.2,1098
AT1G01820.1,1262
AT1G01910.1,1388
AT1G01910.2,1762
AT1G01910.3,1519
AT1G01910.4,1591
AT1G01910.5,1374
AT1G01960.1,5825
AT1G01970.1,1710
AT1G01990.1,1483
AT1G02080.1,7461
AT1G02080.2,7572
AT1G02080.3,7495
AT1G02090.1,1225
AT1G02090.2,1207
AT1G02090.3,1816
AT1G02100.1,1431
AT1G02100.2,1326
AT1G02100.3,1335
AT1G02120.1,2150
AT1G02120.2,2251
AT1G02120.3,2145
AT1G02130.1,1110
AT1G02140.1,875
AT1G02150.1,1979
AT1G02160.1,524
AT1G02160.2,569
AT1G02170.1,1451
AT1G02205.1,2357
AT1G02205.2,2705
AT1G02205.3,2067
AT1G02205.4,2498
AT1G02205.5,2976
AT1G02280.1,1214
AT1G02280.2,1170
AT1G02305.1,1407
AT1G02330.1,1193
AT1G02340.1,1391
AT1G02340.2,1466
AT1G02350.1,423
AT1G02475.1,1091
AT1G02500.1,1748
AT1G02500.2,1530
AT1G02560.1,1479
AT1G02780.1,1109
AT1G02816.1,1602
AT1G02820.1,816
AT1G02840.1,1517
AT1G02840.2,1555
AT1G02840.3,1366
AT1G02840.4,1855
AT1G02840.5,1748
AT1G02850.1,1943
AT1G02850.2,2024
AT1G02850.3,2193
AT1G02850.4,1804
AT1G02850.5,2093
AT1G02870.1,847
AT1G02890.1,4233
AT1G02890.2,4047
AT1G02910.1,1634
AT1G02910.2,1690
AT1G03090.1,2547
AT1G03090.2,2741
AT1G03130.1,956
AT1G03140.1,1553
AT1G03150.1,809
AT1G03160.1,2940
AT1G03160.2,2948
AT1G03160.3,2905
AT1G03160.4,2806
AT1G03220.1,1891
AT1G03250.1,1242
AT1G03250.2,1190
AT1G03250.4,1310
AT1G03280.1,1966
AT1G03280.2,2312
AT1G03280.3,1948
AT1G03310.1,3053
AT1G03310.2,3076
AT1G03330.1,775
